x,y,value
41.81733400238496,-122.72105836591041,12
41.81980678880457,-122.70932176513104,9
41.822278336424944,-122.69758438920563,11
41.82474864510707,-122.68584623838454,6
41.82721771471196,-122.6741073129183,10
41.829685545100666,-122.6623676130577,5
41.83215213613424,-122.65062713905377,6
41.83461748767381,-122.63888589115773,7
41.83708159958052,-122.62714386962107,14
41.839544471715584,-122.61540107469541,251
41.84200610394022,-122.60365750663273,251
41.84446649611567,-122.59191316568513,251
41.846925648103266,-122.58016805210501,251
41.84938355976433,-122.5684221661449,251
41.85184023096023,-122.55667550805765,14
41.85429566155239,-122.54492807809626,6
41.85674985140227,-122.53317987651404,7
41.85920280037133,-122.52143090356444,5
41.861654508321095,-122.50968115950117,7
41.86410497511315,-122.49793064457818,12
41.86655420060907,-122.4861793590496,9
41.86900218467053,-122.47442730316985,13
41.87144892715916,-122.46267447719353,9
41.87389442793667,-122.45092088137548,4
41.87633868686483,-122.43916651597073,6
41.878781703805416,-122.42741138123455,6
41.881223478620264,-122.41565547742249,251
41.88366401117121,-122.40389880479027,251
41.529277401711376,-124.00392075901549,0
41.531885151776564,-123.99227226387393,0
41.53449167870943,-123.98062296789792,0
41.53709698236731,-123.96897287131286,0
41.53970106260757,-123.95732197434447,0
41.542303919287626,-123.94567027721865,0
41.54490555226486,-123.93401778016155,0
41.54750596139677,-123.92236448339953,0
41.550105146540844,-123.91071038715921,0
41.55270310755458,-123.89905549166737,0
41.555299844295554,-123.88739979715109,0
41.557895356621344,-123.8757433038376,0
41.56048964438956,-123.86408601195441,0
41.56308270745786,-123.85242792172926,0
41.56567454568391,-123.84076903339007,0
41.56826515892546,-123.82910934716499,0
41.57085454704019,-123.81744886328248,0
41.573442709885924,-123.80578758197109,0
41.57602964732045,-123.79412550345971,0
41.57861535920161,-123.7824626279774,0
41.58119984538727,-123.77079895575343,0
41.583783105735336,-123.75913448701739,0
41.586365140103744,-123.74746922199898,0
41.58894594835044,-123.73580316092816,0
41.59152553033346,-123.72413630403516,0
41.59410388591081,-123.71246865155037,1
41.596681014940565,-123.7008002037045,1
41.599256917280805,-123.68913096072836,0
41.60183159278965,-123.67746092285307,0
41.60440504132529,-123.66579009030998,0
41.60697726274589,-123.6541184633306,0
41.60954825690969,-123.64244604214674,0
41.61211802367496,-123.6307728269904,0
41.61468656289995,-123.61909881809376,0
41.617253874443016,-123.60742401568933,0
41.61981995816249,-123.59574842000978,0
41.62238481391679,-123.58407203128797,0
41.62494844156429,-123.57239484975709,1
41.62751084096349,-123.56071687565043,1
41.63007201197284,-123.5490381092016,0
41.632631954450886,-123.53735855064443,0
41.63519066825617,-123.52567820021292,0
